variant,n_folds,acc_dec_mean,acc_dec_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,acc_bub_mean,acc_bub_std
emb32_g16_e64_mean,3,0.61534,0.034768336169566656,0.61996,0.03476595461079702,0.9961133333333333,0.006731904138751039,0.7636466666666667,0.027060889367005923,0.59878,0.038388998424027675
emb32_g16_e8_mean,3,0.5976933333333333,0.02043931831870457,0.6020133333333334,0.02011608643184188,0.9949866666666667,0.007900008438814062,0.7496,0.016793248643428092,0.5812200000000001,0.02511524636550474
emb32_g256_e128_mean,3,0.5948133333333333,0.03100961356310869,0.5994066666666666,0.02885754205287303,0.9963266666666667,0.006362399966469693,0.7479066666666666,0.024355946570259454,0.5845,0.04275206661671452
emb32_g256_e16_mean,3,0.5943533333333333,0.04906106535057442,0.5978733333333334,0.048395827643850975,0.99408,0.009384263423412604,0.7458733333333334,0.040188358181609415,0.5818,0.05489662649015868
emb32_g256_e256_mean,3,0.6065933333333333,0.027495376581042428,0.6104,0.02534307795039902,0.9964066666666667,0.006223835901864172,0.75676,0.021233624278488124,0.5939800000000001,0.03136481468142286
emb32_g256_e32_mean,3,0.60698,0.03415053147463451,0.6111733333333333,0.033599740078359704,0.9953533333333333,0.008048262752503355,0.7567533333333334,0.027211441221172646,0.5941733333333333,0.036923349432755014
emb32_g256_e64_mean,3,0.60424,0.04836662899148548,0.6077866666666667,0.04688783353209371,0.9948,0.008155979401641441,0.7537,0.037782255094157655,0.5874733333333333,0.05124067264715923
emb32_g256_e8_mean,3,0.5946333333333333,0.039851250084951315,0.5991466666666667,0.038241497529952116,0.9960866666666667,0.005966048385098258,0.74754,0.031353774892347454,0.58136,0.039636654752892526
emb32_g32_e128_mean,3,0.6250666666666667,0.034982248831848015,0.6292333333333333,0.035363214408949496,0.99554,0.007724946601757226,0.7706666666666667,0.027356420331127652,0.60954,0.03397424318509538
emb32_g32_e16_mean,3,0.6022733333333333,0.03213759377012122,0.6068133333333333,0.030999460210354195,0.9965066666666667,0.006050630821107304,0.7536133333333334,0.025333900870835795,0.59038,0.03710379495415522
emb32_g32_e256_mean,3,0.61778,0.0321039125341445,0.62196,0.03189088898102401,0.99654,0.0059928957941882835,0.7655133333333334,0.024758847576842793,0.5998133333333334,0.03281583357669481
emb32_g32_e32_mean,3,0.6119800000000001,0.029296272800477547,0.6162666666666666,0.028778925159451876,0.99536,0.008036715747119616,0.7609066666666666,0.0233583075870949,0.5981066666666667,0.026778396765552135
emb32_g32_e64_mean,3,0.61996,0.02071527938503361,0.6238066666666666,0.021536818087482958,0.99528,0.007359565204548436,0.7665066666666667,0.016185330807040474,0.6045533333333334,0.02442163248706625
emb32_g32_e8_mean,3,0.60012,0.018802010530791693,0.6036266666666666,0.019515802144245465,0.9945466666666667,0.008660931435667487,0.7509266666666666,0.016327771842273332,0.5798733333333334,0.02562024459940486
emb32_g64_e128_mean,3,0.6203666666666666,0.026712224417545866,0.6250466666666666,0.026766713158946714,0.9972133333333333,0.004826648250425291,0.7681133333333333,0.020498022668865735,0.6047933333333333,0.024849163634483435
emb32_g64_e16_mean,3,0.6061066666666667,0.03516431334937929,0.6103333333333334,0.03485076947978818,0.99578,0.007309254407940665,0.7561866666666667,0.02798000953061549,0.59148,0.03637910938986824
emb32_g64_e256_mean,3,0.6159533333333334,0.029955796322804245,0.6186,0.03099727084760856,0.9927133333333333,0.012620876884485214,0.7619,0.02502901516240704,0.5988333333333333,0.02925154582809823
emb32_g64_e32_mean,3,0.6024666666666667,0.027877893272866463,0.60564,0.027978541777583753,0.99386,0.009731248635195831,0.7520933333333334,0.023282691711512548,0.5889666666666666,0.036136332593849796
emb32_g64_e64_mean,3,0.6069333333333333,0.035837200411490515,0.6099333333333333,0.03523766356234947,0.9947266666666666,0.009133681258579912,0.75574,0.02872386464248849,0.5896533333333334,0.037476992052902676
emb32_g64_e8_mean,3,0.5978733333333334,0.03947781317820593,0.60246,0.03811863061548771,0.99576,0.0058080289255478005,0.7499266666666666,0.030925370383122867,0.58518,0.04454538808900421
emb32_g8_e128_mean,3,0.60758,0.03887105349742914,0.61248,0.03639787356426198,0.9970866666666667,0.005046041352717312,0.75826,0.028797749912102523,0.5907933333333333,0.03894823402072722
emb32_g8_e16_mean,3,0.5966,0.039160245147343016,0.6012533333333333,0.03747832084463409,0.9961066666666667,0.0060140613010954405,0.7493266666666667,0.030515139411992406,0.5812466666666667,0.044408221461046296
