variant,coverage,runs,params,acc_dec,precision_dec,recall_dec,f1_dec,acc_bub,decisions,bubbles
emb128_g8_e32_mean,20,5,4281,0.6151549942594718,0.6185905506058145,0.9966277557908791,0.7628379306593941,0.5979823455233292,4355,3965
emb128_g8_e64_mean,20,5,5017,0.6128587830080368,0.6168614570420979,0.9976834373035822,0.7617971450446881,0.594703656998739,4355,3965
emb128_g8_e128_mean,20,5,6489,0.6218140068886338,0.6260574580436223,0.9977659724071593,0.7688161152388506,0.605296343001261,4355,3965
emb128_g8_e256_mean,20,5,9433,0.6176808266360505,0.6212264518581185,0.9965133823887863,0.7646554129915482,0.6025220680958386,4355,3965
emb128_g16_e8_mean,20,5,5097,0.5938002296211251,0.598207914451057,0.9976304610477368,0.7474681690053254,0.5775535939470365,4355,3965
emb128_g16_e16_mean,20,5,5409,0.5836969001148106,0.5872372002444827,0.9964006662253211,0.7379950456162212,0.5699873896595208,4355,3965
emb128_g16_e32_mean,20,5,6033,0.6071182548794489,0.6106957209156446,0.9968621503829609,0.7567752205128524,0.5896595208070617,4355,3965
emb128_g16_e64_mean,20,5,7281,0.6078071182548794,0.610925934875931,0.9960837721741181,0.7569624500522277,0.5916771752837326,4355,3965
emb128_g16_e128_mean,20,5,9777,0.6133180252583238,0.6170964138428224,0.9972491075842342,0.7619648037621789,0.5954602774274905,4355,3965
emb128_g16_e256_mean,20,5,14769,0.6146957520091848,0.6179640379794132,0.9969505538914378,0.7626163767635645,0.5979823455233292,4355,3965
emb128_g32_e8_mean,20,5,8217,0.5676234213547646,0.5710621976514736,0.996672847138342,0.723750151049649,0.5558638083228247,4355,3965
emb128_g32_e16_mean,20,5,8785,0.5958668197474167,0.5984936086224787,0.9952080934250525,0.7471370246758247,0.5800756620428752,4355,3965
emb128_g32_e32_mean,20,5,9921,0.5972445464982779,0.5992648957613278,0.9948680778693862,0.7478638141066133,0.5836065573770491,4355,3965
emb128_g32_e64_mean,20,5,12193,0.6016073478760046,0.605244947627367,0.9973035839751924,0.7526756907586519,0.5846153846153846,4355,3965
emb128_g32_e128_mean,20,5,16737,0.6140068886337543,0.6166974043908798,0.9957849209962109,0.7613400230333586,0.598234552332913,4355,3965
emb128_g32_e256_mean,20,5,25825,0.609873708381171,0.6131812710245137,0.9968501229913764,0.7589250975461684,0.5919293820933165,4355,3965
emb128_g64_e8_mean,20,5,15993,0.5944890929965557,0.5985897453910972,0.9974043164577084,0.7471742939336806,0.5773013871374527,4355,3965
emb128_g64_e16_mean,20,5,17073,0.6061997703788748,0.6095103409779432,0.9964606791240471,0.7558698225578029,0.5901639344262295,4355,3965
emb128_g64_e32_mean,20,5,19233,0.6126291618828932,0.6161706330697974,0.9966712991126857,0.7612506488423533,0.5967213114754099,4355,3965
emb128_g64_e64_mean,20,5,23553,0.6045924225028703,0.6074743647645133,0.9961724970082859,0.7545286333286633,0.5851197982345523,4355,3965
emb128_g64_e128_mean,20,5,32193,0.6013777267508611,0.6039706108664327,0.9968986134546878,0.7521428605748213,0.5881462799495586,4355,3965
emb128_g64_e256_mean,20,5,49473,0.6163030998851894,0.6197215054080887,0.9965766455938156,0.7638624612590235,0.6020176544766709,4355,3965
emb128_g128_e8_mean,20,5,37689,0.5988518943742824,0.6017764553735404,0.9956125338774243,0.7495591889819734,0.5838587641866331,4355,3965
emb128_g128_e16_mean,20,5,39793,0.6048220436280137,0.6082975956524428,0.9964854826245736,0.7549751460606726,0.5919293820933165,4355,3965
emb128_g128_e32_mean,20,5,44001,0.5912743972445464,0.5939999149522593,0.9956647537530807,0.7439626759430747,0.5775535939470365,4355,3965
emb128_g128_e64_mean,20,5,52417,0.5990815154994259,0.6017156826135827,0.995675220713446,0.7496051843026804,0.5853720050441362,4355,3965
emb128_g128_e128_mean,20,5,69249,0.6039035591274398,0.606850573463279,0.995637141937563,0.7536292555111807,0.5896595208070617,4355,3965
emb128_g128_e256_mean,20,5,102913,0.6013777267508611,0.6044427385920008,0.9964834635873132,0.7520152192024755,0.5846153846153846,4355,3965
emb128_g256_e8_mean,20,5,105657,0.5960964408725603,0.5992627123287019,0.9968856325757842,0.7477883822816984,0.5853720050441362,4355,3965
emb128_g256_e16_mean,20,5,109809,0.5960964408725603,0.5989984824093685,0.9959147138265905,0.7475836795694768,0.5851197982345523,4355,3965
emb128_g256_e32_mean,20,5,118113,0.600459242250287,0.6029690546516163,0.997204137463026,0.7511350938763879,0.5866330390920554,4355,3965
emb128_g256_e64_mean,20,5,134721,0.6025258323765786,0.6058035190733497,0.9960257028799712,0.7528732659878268,0.5921815889029004,4355,3965
emb128_g256_e128_mean,20,5,167937,0.6091848450057405,0.6122479726056091,0.9960096587384063,0.7579171219456005,0.5954602774274905,4355,3965
emb128_g256_e256_mean,20,5,234369,0.6052812858783008,0.6088603224898885,0.9968626871149194,0.7557513090891905,0.5894073139974779,4355,3965
emb256_g8_e8_mean,20,5,7185,0.5462686567164179,0.549077456459017,0.995529875102669,0.7039957215180012,0.5326607818411098,4355,3965
emb256_g8_e16_mean,20,5,7369,0.5983926521239954,0.6023782877354011,0.9971898246493627,0.7503434880117396,0.580327868852459,4355,3965
emb256_g8_e32_mean,20,5,7737,0.5958668197474167,0.5994637005955928,0.9972344850389344,0.7480802153643192,0.5790668348045397,4355,3965
